"Ligand"	"Receptor"	"known"	"Source"	"Databases"	"Evidence"	"PMIDs"
"Adm2_Ramp1"	"Adm2"	"Ramp1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12684503"
"Adm_Calcr"	"Adm"	"Calcr"	"known"	"IUPHAR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15692146,12565884"
"Adm_Calcrl"	"Adm"	"Calcrl"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9620797"
"Adm_Gpr182"	"Adm"	"Gpr182"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7592696"
"Adm_Mrgpra6"	"Adm"	"Mrgpra6"	"known"	"HPMR,IUPHAR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16111673,15823563"
"Adm_Ramp2"	"Adm"	"Ramp2"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9620797"
"Agrn_Atp1a3"	"Agrn"	"Atp1a3"	"novel"	"STRING.binding,"	"literature"	"supported"	"16630822"
"Agrn_Lrp4"	"Agrn"	"Lrp4"	"novel"	"literature"	"supported"	"18848351"	""
"Agrn_Musk"	"Agrn"	"Musk"	"known"	"HPMR,HPMR.Receptor"	"literature"	"supported"	"8653787"
"Agrp_Mc3r"	"Agrp"	"Mc3r"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9311920,9819197,9893984,11747427"
"Agrp_Mc4r"	"Agrp"	"Mc4r"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9311920,9299416,10318826,11747427,12815165"
"Agrp_Mc5r"	"Agrp"	"Mc5r"	"known"	"IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9892020"
"Agrp_Sdc3"	"Agrp"	"Sdc3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11461706"
"Agt_Agtr1a"	"Agt"	"Agtr1a"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10993080,15930094,21464395,10193788,12006574,15930094"
"Agt_Agtr2"	"Agt"	"Agtr2"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8315512,8185599,17138938,21464395,2775266,7850406,8242249,8185599"
"Agt_Lrp2"	"Agt"	"Lrp2"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15467006"
"Agt_Mas1"	"Agt"	"Mas1"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12829792"
"Ahsg_Insr"	"Ahsg"	"Insr"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"7906861"
"Alb_Lrp2"	"Alb"	"Lrp2"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11158855,8898021"
"Amelx_Lamp1"	"Amelx"	"Lamp1"	"novel"	"literature"	"supported"	"20382373"	""
"Amh_Acvr1"	"Amh"	"Acvr1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14656470"
"Amh_Amhr2"	"Amh"	"Amhr2"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7997230,8889695"
"Amh_Egfr"	"Amh"	"Egfr"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8596488"
"Angpt1_Itga5"	"Angpt1"	"Itga5"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15781448"
"Angpt1_Itgb1"	"Angpt1"	"Itgb1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Angpt1_Tek"	"Angpt1"	"Tek"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8980223,9723709,8980223,12427764,8980224"
"Angpt1_Tie1"	"Angpt1"	"Tie1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11172728"
"Angpt2_Tek"	"Angpt2"	"Tek"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9204896,9723709"
"Angpt2_Tie1"	"Angpt2"	"Tie1"	"novel"	"STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Angpt4_Tek"	"Angpt4"	"Tek"	"known"	"IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Receptor"	"literature"	"supported"	"10051567"
"Angpt4_Tie1"	"Angpt4"	"Tie1"	"novel"	"STRING.binding,STRING.experiment,HPMR.Receptor"	"putative "	""	""
"Angptl1_Tek"	"Angptl1"	"Tek"	"known"	"DLRP,HPRD,HPMR.Receptor"	"literature"	"supported"	"10051567"
"Angptl2_Tie1"	"Angptl2"	"Tie1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Angptl3_Itga5"	"Angptl3"	"Itga5"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"11877390"
"Angptl3_Itgav"	"Angptl3"	"Itgav"	"novel"	"HPRD,STRING.binding,HPMR.Receptor"	"literature"	"supported"	"11877390"
"Angptl3_Itgb3"	"Angptl3"	"Itgb3"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"11877390"
"Angptl4_Tie1"	"Angptl4"	"Tie1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Anxa1_Dysf"	"Anxa1"	"Dysf"	"novel"	"HPRD,STRING.binding,HPMR.Ligand"	"literature"	"supported"	"14506282"
"Anxa1_Egfr"	"Anxa1"	"Egfr"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15581623"
"Anxa1_Fpr1"	"Anxa1"	"Fpr1"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10882119,12560218"
"Anxa1_Fpr3"	"Anxa1"	"Fpr3"	"known"	"IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15187149"
"Apln_Aplnr"	"Apln"	"Aplnr"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10617103,9792798,12603839,15341513,10777510,12939143,11336787"
"Apob_Calcr"	"Apob"	"Calcr"	"novel"	"STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Apob_Gm49368"	"Apob"	"Gm49368"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Apob_Itgb2"	"Apob"	"Itgb2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Apob_Ldlr"	"Apob"	"Ldlr"	"known"	"HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11327878,12031600"
"Apob_Lrp2"	"Apob"	"Lrp2"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10330424"
"Apob_Lrp6"	"Apob"	"Lrp6"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Apob_Lrp8"	"Apob"	"Lrp8"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Apob_Lsr"	"Apob"	"Lsr"	"novel"	"STRING.binding,HPMR.Ligand"	"literature"	"supported"	"7615497"
"Apob_Olr1"	"Apob"	"Olr1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9763524"
"Apoc3_Sdc2"	"Apoc3"	"Sdc2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Apoc3_Tlr2"	"Apoc3"	"Tlr2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Apod_Lepr"	"Apod"	"Lepr"	"novel"	"HPRD,STRING.binding,HPMR.Receptor"	"literature"	"supported"	"11344130"
"Apoe_Chrna4"	"Apoe"	"Chrna4"	"novel"	"STRING.binding,HPMR.Ligand"	"putative "	""	""
"Apoe_Ldlr"	"Apoe"	"Ldlr"	"known"	"HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11327878,12036962"
"Apoe_Lrp1"	"Apoe"	"Lrp1"	"novel"	"HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11421580"
"Apoe_Lrp2"	"Apoe"	"Lrp2"	"novel"	"HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11421580"
"Apoe_Lrp5"	"Apoe"	"Lrp5"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9832610)"
"Apoe_Lrp8"	"Apoe"	"Lrp8"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12950167,12167620,12950167"
"Apoe_Scarb1"	"Apoe"	"Scarb1"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12138091"
"Apoe_Sorl1"	"Apoe"	"Sorl1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11294867"
"Apoe_Vldlr"	"Apoe"	"Vldlr"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12870663,12167620"
"App_Cav1"	"App"	"Cav1"	"novel"	"HPRD,"	"literature"	"supported"	"9553108"
"App_Cd74"	"App"	"Cd74"	"novel"	"literature"	"supported"	"19849849"	""
"App_Gpc1"	"App"	"Gpc1"	"novel"	"HPRD,STRING.binding,HPMR.Receptor"	"literature"	"supported"	"15084524"
"App_Lrp1"	"App"	"Lrp1"	"novel"	"HPRD,STRING.experiment,HPMR.Receptor"	"literature"	"supported"	"12212791,7543026"
"App_Ncstn"	"App"	"Ncstn"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"10993067"
"App_Ngfr"	"App"	"Ngfr"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"App_Slc45a3"	"App"	"Slc45a3"	"novel"	"STRING.binding,"	"putative "	""	""
"App_Tnfrsf21"	"App"	"Tnfrsf21"	"novel"	"STRING.binding,HPMR.Receptor"	"literature"	"supported"	"19225519"
"Areg_Egfr"	"Areg"	"Egfr"	"known"	"DLRP,HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"2466334,10085134"
"Areg_Erbb3"	"Areg"	"Erbb3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8702723"
"Arf1_Chrm3"	"Arf1"	"Chrm3"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"12799371"
"Arf1_Insr"	"Arf1"	"Insr"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"9197239"
"Arf1_Pld2"	"Arf1"	"Pld2"	"known"	"IUPHAR,HPRD,STRING.binding,STRING.experiment,"	"literature"	"supported"	"12519790,10801846"
"Artn_Gfra1"	"Artn"	"Gfra1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9883723"
"Artn_Gfra3"	"Artn"	"Gfra3"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9883723"
"Artn_Ret"	"Artn"	"Ret"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9883723"
"a_Atrn"	"a"	"Atrn"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11137996"
"a_F11r"	"a"	"F11r"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"11447115"
"a_Mc1r"	"a"	"Mc1r"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12851328,9058374"
"a_Mc2r"	"a"	"Mc2r"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9058374"
"a_Mc3r"	"a"	"Mc3r"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9058374"
"a_Mc4r"	"a"	"Mc4r"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9058374"
"a_Mc5r"	"a"	"Mc5r"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9058374"
"Avp_Avpr1a"	"Avp"	"Avpr1a"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"1560825,8106369,8106369,9884074,9334232,10780976,9322919,12446593,9459574,15084136,9264324,10866830,9864265,10519430"
"Avp_Avpr1b"	"Avp"	"Avpr1b"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7929452,9884074,10780976,9322919,12446593,9459574,15084136,9264324,9864265,10519430,16158071"
"Avp_Avpr2"	"Avp"	"Avpr2"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11857925,9884074,10780976,9322919,12446593,9459574,15084136,9264324,9864265,10519430,7774575,11012895"
"Avp_Oxtr"	"Avp"	"Oxtr"	"known"	"IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12446593,15084136,10519430,7774575,11337500,16158071,7475979,8955347,7921229"
"Azgp1_Itgav"	"Azgp1"	"Itgav"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"9813179"
"B2m_Cd247"	"B2m"	"Cd247"	"novel"	"STRING.binding,"	"putative "	""	""
"B2m_Cd3d"	"B2m"	"Cd3d"	"novel"	"STRING.binding,"	"putative "	""	""
"B2m_Cd3g"	"B2m"	"Cd3g"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"B2m_Hfe"	"B2m"	"Hfe"	"novel"	"HPRD,STRING.binding,STRING.experiment,HPMR.Receptor"	"literature"	"supported"	"10791995"
"B2m_Klrd1"	"B2m"	"Klrd1"	"novel"	"STRING.binding,STRING.experiment,HPMR.Receptor"	"putative "	""	""
"B2m_Gm15922"	"B2m"	"Gm15922"	"novel"	"HPRD,STRING.binding,STRING.experiment,HPMR.Receptor"	"literature"	"supported"	"12897781"
"B2m_Tfrc"	"B2m"	"Tfrc"	"novel"	"STRING.binding,STRING.experiment,HPMR.Receptor"	"putative "	""	""
"Bcan_Egfr"	"Bcan"	"Egfr"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Bcan_Nrcam"	"Bcan"	"Nrcam"	"novel"	"STRING.binding,"	"putative "	""	""
"Bdnf_Ddr1"	"Bdnf"	"Ddr1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Bdnf_Drd4"	"Bdnf"	"Drd4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Bdnf_Ngfr"	"Bdnf"	"Ngfr"	"known"	"DLRP,IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported "	""
"Bdnf_Ntrk2"	"Bdnf"	"Ntrk2"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7644540,9312147"
"Bdnf_Sort1"	"Bdnf"	"Sort1"	"novel"	"HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15987945"
"Bgn_Ly96"	"Bgn"	"Ly96"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Bgn_Tlr1"	"Bgn"	"Tlr1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Bgn_Tlr2"	"Bgn"	"Tlr2"	"novel"	"STRING.binding,HPMR.Receptor"	"literature"	"supported"	"16025156"
"Bgn_Tlr4"	"Bgn"	"Tlr4"	"novel"	"STRING.binding,HPMR.Receptor"	"literature"	"supported"	"16025156"
"Bmp10_Acvr1"	"Bmp10"	"Acvr1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Bmp10_Acvr2a"	"Bmp10"	"Acvr2a"	"known"	"DLRP,HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16049014"
"Bmp10_Acvr2b"	"Bmp10"	"Acvr2b"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Bmp10_Acvrl1"	"Bmp10"	"Acvrl1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"17068149"
"Bmp10_Bmpr1a"	"Bmp10"	"Bmpr1a"	"known"	"DLRP,HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16049014"
"Bmp10_Bmpr1b"	"Bmp10"	"Bmpr1b"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16049014"
"Bmp10_Bmpr2"	"Bmp10"	"Bmpr2"	"known"	"DLRP,HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16049014"
"Bmp10_Eng"	"Bmp10"	"Eng"	"novel"	"literature"	"supported"	"21737454"	""
"Bmp15_Acvr1"	"Bmp15"	"Acvr1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Bmp15_Acvr2a"	"Bmp15"	"Acvr2a"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"2419820"
"Bmp15_Acvr2b"	"Bmp15"	"Acvr2b"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Bmp15_Bmpr1a"	"Bmp15"	"Bmpr1a"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"2419820"
"Bmp15_Bmpr1b"	"Bmp15"	"Bmpr1b"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12044914,12419820"
"Bmp15_Bmpr2"	"Bmp15"	"Bmpr2"	"known"	"DLRP,HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12419820"
"Bmp2_Acvr1"	"Bmp2"	"Acvr1"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8006002"
"Bmp2_Acvr2a"	"Bmp2"	"Acvr2a"	"known"	"DLRP,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"21702718"
"Bmp2_Acvr2b"	"Bmp2"	"Acvr2b"	"known"	"DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15064755"
"Bmp2_Bmpr1a"	"Bmp2"	"Bmpr1a"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12700180,11263668,10881198,10692589,15064755"
"Bmp2_Bmpr1b"	"Bmp2"	"Bmpr1b"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12700180,7811286,9872992,15064755"
"Bmp2_Bmpr2"	"Bmp2"	"Bmpr2"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11263668,10880444"
"Bmp2_Eng"	"Bmp2"	"Eng"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9872992"
"Bmp3_Acvr1"	"Bmp3"	"Acvr1"	"known"	"DLRP,HPMR.Receptor"	"putative "	""	""
"Bmp3_Acvr2a"	"Bmp3"	"Acvr2a"	"known"	"DLRP,STRING.binding,HPMR.Receptor"	"putative "	""	""
"Bmp3_Acvr2b"	"Bmp3"	"Acvr2b"	"known"	"DLRP,HPMR.Receptor"	"literature"	"supported"	"22074949"
"Bmp3_Bmpr1a"	"Bmp3"	"Bmpr1a"	"known"	"DLRP,HPMR.Receptor"	"putative "	""	""
"Bmp3_Bmpr1b"	"Bmp3"	"Bmpr1b"	"known"	"DLRP,HPMR.Receptor"	"putative "	""	""
"Bmp3_Bmpr2"	"Bmp3"	"Bmpr2"	"known"	"DLRP,HPMR.Receptor"	"putative "	""	""
"Bmp4_Acvr1"	"Bmp4"	"Acvr1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Bmp4_Acvr2a"	"Bmp4"	"Acvr2a"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
